Company Name,Skills,Posted Date,Location,Job Type,Job Link
Yash Technologies Pvt Ltd,"sap mm implementation, shana configuration, inventory management, external service management, logistic invoice verification, master data, sap sd, batch management, wm, forms",1 day ago,Pune,SAP MM Contractor Job Job Details | Yash Technologies,https://www.timesjobs.com/job-detail/sap-mm-contractor-job-job-details-yash-technologies-yash-technologies-pvt-ltd-pune-4-to-5-yrs-jobid-3zxkT9KL9vJzpSvf__PLUS__uAgZw==&source=srp
Verizon Data Services India Pvt Ltd,"customer experience research, data analysis techniques, analytical problem solving, team management skills, effective communication, building, measurement, design, survey",1 day ago,"Chennai,  Hyderabad/Secunderabad",Manager - Business Intelligence,https://www.timesjobs.com/job-detail/manager-business-intelligence-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-6-to-7-yrs-jobid-LrcTEt__PLUS__MoLVzpSvf__PLUS__uAgZw==&source=srp
Verizon Data Services India Pvt Ltd,"customer experience research, data analysis techniques, analytical problem solving, team management skills, effective communication, building, measurement, design, survey",1 day ago,"Chennai,  Hyderabad/Secunderabad",Manager - Business Intelligence,https://www.timesjobs.com/job-detail/manager-business-intelligence-verizon-data-services-india-pvt-ltd-chennai-hyderabad-secunderabad-6-to-7-yrs-jobid-mCHeV__SLASH__XExEJzpSvf__PLUS__uAgZw==&source=srp
Verizon Data Services India Pvt Ltd,"java scripting, bpm development, workflow tools, ci / cd deployment, backend frameworks, mongodb, javascript, wli",1 day ago,Bengaluru / Bangalore,Software Engineer II-jBPM,https://www.timesjobs.com/job-detail/software-engineer-ii-jbpm-verizon-data-services-india-pvt-ltd-bengaluru-bangalore-1-to-4-yrs-jobid-lF0CnUuw1DJzpSvf__PLUS__uAgZw==&source=srp
Verizon Data Services India Pvt Ltd,"java scripting, bpm development, workflow tools, ci / cd deployment, backend frameworks, mongodb, javascript, wli",1 day ago,Bengaluru / Bangalore,Software Engineer II-jBPM,https://www.timesjobs.com/job-detail/software-engineer-ii-jbpm-verizon-data-services-india-pvt-ltd-bengaluru-bangalore-1-to-4-yrs-jobid-3eVp5pD2KUhzpSvf__PLUS__uAgZw==&source=srp
Verizon Data Services India Pvt Ltd,"data ingestion, etl / elt development, big data technologies, data transformation, problem solving, production, lifting, innovation, ideas, cutting",1 day ago,"Chennai,  Bengaluru / Bangalore,  Hyderabad/Secunderabad",Engr III Spec-Data Engineering,https://www.timesjobs.com/job-detail/engr-iii-spec-data-engineering-verizon-data-services-india-pvt-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-3-to-5-yrs-jobid-Vx6xG__PLUS__aztY1zpSvf__PLUS__uAgZw==&source=srp
Verizon Data Services India Pvt Ltd,"data ingestion, etl / elt development, big data technologies, data transformation, problem solving, production, lifting, innovation, ideas, cutting",1 day ago,"Chennai,  Bengaluru / Bangalore,  Hyderabad/Secunderabad",Engr III Spec-Data Engineering,https://www.timesjobs.com/job-detail/engr-iii-spec-data-engineering-verizon-data-services-india-pvt-ltd-chennai-bengaluru-bangalore-hyderabad-secunderabad-3-to-5-yrs-jobid-__SLASH__VB4KOGQKpZzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"code troubleshooting, sql proficiency, java programming, c# development, test plan execution, oracle, security",1 day ago,Bengaluru / Bangalore,Production Service Developer 2,https://www.timesjobs.com/job-detail/production-service-developer-2-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-ymm4w1OPfyRzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"interpersonal effectiveness, process optimization, customer centricity, problem solving, adaptability, security, oracle",1 day ago,Bengaluru / Bangalore,Business Analyst 1-Ops,https://www.timesjobs.com/job-detail/business-analyst-1-ops-oracle-bengaluru-bangalore-1-to-3-yrs-jobid-KeHQZDeS2SBzpSvf__PLUS__uAgZw==&source=srp
ORACLE,"c   programming, debugging techniques, git versioning, linux proficiency, problem solving, sql, security, senior software developer, data structures, software engineering, solaris, oracle, os, windows",1 day ago,Bengaluru / Bangalore,Software Developer 3,https://www.timesjobs.com/job-detail/software-developer-3-oracle-bengaluru-bangalore-3-to-5-yrs-jobid-UntJ5NT9YdhzpSvf__PLUS__uAgZw==&source=srp
